timestamp,id,rating,course_2,course_3,is_mi_student,is_ml_student,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,blended,is_first_place,is_last_place
2020-05-18 23:56:39.191,bb9bbd259ab6b8170a7dc6fb35695d13,1285,,45,0.0,0.0,Безопасность компьютерных систем,Высокопроизводительные вычисления,Высокопроизводительные вычисления,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Да,0.08695652173913049,DevOps,,
2020-05-18 23:58:07.072,2c0a8cb6662b9a0a0a5d2d1214442767,1107,,42,0.0,0.0,Анализ неструктурированных данных,Глубинное обучение в обработке звука,Моделирование временных рядов,Обучение с подкреплением,Компьютерное зрение,Конфликты и кооперация,Да,0.6666666666666667,Соревновательный анализ данных,,
2020-05-18 23:58:33.903,8fe79f84f36e3a5d2d6745621321302c,1016,,44,0.0,0.0,Безопасность компьютерных систем,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Конфликты и кооперация,Проектирование и разработка высоконагруженных сервисов,Символьные вычисления,Да,0.9420289855072463,DevOps,,
2020-05-18 23:59:20.831,f93afd8e92c336b471aa3bbbc579aefe,1298,,45,0.0,0.0,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов,Конфликты и кооперация,Да,0.05797101449275366,DevOps,,
2020-05-18 23:59:28.998,9963fc00d9405a35b894cc04a7e19855,1135,,45,0.0,0.0,Безопасность компьютерных систем,Высокопроизводительные вычисления,Безопасность компьютерных систем,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Символьные вычисления,Да,0.572463768115942,DevOps,,
2020-05-19 08:55:39.509,98c5a2548d93f26bd4195466e93178b3,1035,,41,0.0,0.0,Байесовские методы машинного обучения,Глубинное обучение в обработке звука,Statistical Learning Theory,Обучение с подкреплением,Генеративные модели в машинном обучении,Методы сжатия и передачи медиаданных,Нет,0.9057971014492754,DevOps,,True
2020-05-19 18:58:06.283,ba298cbd9be59b84bab33325e956f27e,1155,,41,0.0,0.0,Сбор и обработка данных с помощью краудсорсинга,Байесовские методы машинного обучения,Анализ неструктурированных данных,Конфликты и кооперация,Обучение с подкреплением,Компьютерное зрение,Да,0.5072463768115942,Соревновательный анализ данных,,
2020-05-19 19:04:17.873,c5870b37ee3f672e4259dfb2fc02ed8f,1029,,44,0.0,0.0,Statistical Learning Theory,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга,Обучение с подкреплением,Конфликты и кооперация,Компьютерное зрение,Да,0.9202898550724637,DevOps,,
2020-05-19 20:19:25.815,f44aea1095f9f5b8e2f5f0ed2b17891b,1060,,44,0.0,0.0,Анализ неструктурированных данных,Высокопроизводительные вычисления,Моделирование временных рядов,Конфликты и кооперация,Обучение с подкреплением,Численные методы,Да,0.8405797101449275,DevOps,,
2020-05-20 11:54:38.318,d7118b44c7e8fdbbaaca226d2da6fef1,1111,,43,0.0,0.0,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Анализ неструктурированных данных,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Численные методы,Да,0.6521739130434783,Соревновательный анализ данных,,
2020-05-23 21:16:40.916,79d14db48e4737af731960ae212d5134,966,,42,0.0,0.0,Безопасность компьютерных систем,Принятие решений в условиях риска и неопределённости,Анализ неструктурированных данных,Проектирование и разработка высоконагруженных сервисов,Методы сжатия и передачи медиаданных,Компьютерное зрение,Да,0.9855072463768116,DevOps,,
2020-05-23 21:16:40.916,f2d210ace25a841e1e58036b257d5d47,1195,,46,0.0,0.0,Анализ неструктурированных данных,Моделирование временных рядов,Высокопроизводительные вычисления,Обучение с подкреплением,Компьютерное зрение,Методы сжатия и передачи медиаданных,да,0.3695652173913043,Соревновательный анализ данных,,
